#,Thermostat,identifier,511819850891
#,Thermostat,name,Main Floor
#,Start,date,2018-01-01
#,End,date,2018-01-31

Date,Time,System Setting,System Mode,Calendar Event,Program Mode,Cool Set Temp (F),Heat Set Temp (F),Current Temp (F),Current Humidity (%RH),Outdoor Temp (F),Wind Speed (km/h),Cool Stage 1 (sec),Heat Stage 1 (sec),Fan (sec),DM Offset,Thermostat Temperature (F),Thermostat Humidity (%RH),Thermostat Motion,Main Floor Remote 1 (F),Main Floor Remote 12
2017-12-31,23:00:00,heat,heatStage1On,,Sleep,79,65,70.5,32,,,0,60,105,,72.5,32,0,68.5,0,
2017-12-31,23:05:00,heat,heatOff,,Sleep,79,65,70.6,33,,,0,0,0,,72.6,33,0,68.8,1,
2017-12-31,23:10:00,heat,heatOff,,Sleep,79,65,70.2,33,,,0,0,0,,72.2,33,0,68.6,1,
2017-12-31,23:15:00,heat,heatOff,,Sleep,79,65,69.7,33,,,0,0,0,,71.8,33,0,68.2,1,
2017-12-31,23:20:00,heat,heatOff,,Sleep,79,65,69.2,33,,,0,0,0,,71.6,33,0,68,1,
2017-12-31,23:25:00,heat,heatOff,,Sleep,79,65,68.8,33,,,0,0,0,,71.3,33,0,67.9,1,
2017-12-31,23:30:00,heat,heatOff,,Sleep,79,65,68.3,33,,,0,0,0,,71.2,33,0,67.7,1,
2017-12-31,23:35:00,heat,heatOff,,Sleep,79,65,67.6,33,,,0,0,0,,71,33,0,67.5,1,
2017-12-31,23:40:00,heat,heatOff,,Sleep,79,65,67.2,33,,,0,0,0,,70.8,33,0,67.2,0,
2017-12-31,23:45:00,heat,heatOff,,Sleep,79,65,67.1,33,,,0,0,0,,70.7,33,0,67.1,0,
2017-12-31,23:50:00,heat,heatOff,,Sleep,79,65,66.9,33,,,0,0,0,,70.5,33,0,66.9,1,
2017-12-31,23:55:00,heat,heatOff,,Sleep,79,65,66.7,33,,,0,0,0,,70.3,33,0,66.7,1,
2018-01-01,00:00:00,heat,heatOff,,Sleep,79,65,66.5,33,,,0,0,0,,70.2,33,0,66.5,1,
2018-01-01,00:05:00,heat,heatOff,,Sleep,79,65,66.2,33,,,0,0,0,,70,33,0,66.2,1,
2018-01-01,00:10:00,heat,heatOff,,Sleep,79,65,66.1,33,,,0,0,0,,69.8,33,0,66.1,0,
2018-01-01,00:15:00,heat,heatOff,,Sleep,79,65,65.7,33,,,0,0,0,,69.6,33,0,65.7,0,
2018-01-01,00:20:00,heat,heatOff,,Sleep,79,65,65.6,33,,,0,0,0,,69.5,33,0,65.6,0,
2018-01-01,00:25:00,heat,heatOff,,Sleep,79,65,65.5,33,,,0,0,0,,69.3,33,0,65.5,0,
2018-01-01,00:30:00,heat,heatOff,,Sleep,79,65,65.4,33,,,0,0,0,,69.2,33,0,65.4,0,
2018-01-01,00:35:00,heat,heatOff,,Sleep,79,65,65.5,33,,,0,0,0,,69.2,33,0,65.3,0,
2018-01-01,00:40:00,heat,heatOff,,Sleep,79,65,65.8,33,,,0,0,0,,69,33,0,65.1,0,
2018-01-01,00:45:00,heat,heatOff,,Sleep,79,65,66,33,,,0,0,0,,68.9,33,0,64.9,0,
2018-01-01,00:50:00,heat,heatOff,,Sleep,79,65,66.1,32,,,0,0,0,,68.8,32,0,64.7,0,
2018-01-01,00:55:00,heat,heatOff,,Sleep,79,65,66.2,31,,,0,0,0,,68.6,31,0,64.5,0,
2018-01-01,01:00:00,heat,heatOff,,Sleep,79,65,66.3,31,,,0,0,0,,68.5,31,0,64.4,0,
2018-01-01,01:05:00,heat,heatOff,,Sleep,79,65,66.3,31,,,0,0,0,,68.4,31,0,64.3,0,
