#,Thermostat,identifier,511856026822
#,Thermostat,name,Upstairs
#,Start,date,2018-08-01
#,End,date,2018-08-31

Date,Time,System Setting,System Mode,Calendar Event,Program Mode,Cool Set Temp (F),Heat Set Temp (F),Current Temp (F),Current Humidity (%RH),Outdoor Temp (F),Wind Speed (km/h),Cool Stage 1 (sec),Heat Stage 1 (sec),Fan (sec),DM Offset,Thermostat Temperature (F),Thermostat Humidity (%RH),Thermostat Motion,Bedroom (F),Bedroom2
2018-08-01,00:00:00,cool,compressorCoolOff,,Sleep,79,66,79.1,46,80.4,0,0,0,0,,78.1,46,0,80.3,0,
2018-08-01,00:05:00,cool,compressorCoolOff,,Sleep,79,66,79.3,46,80.4,0,75,0,75,,78.4,46,0,80.3,0,
2018-08-01,00:10:00,cool,compressorCoolStage1On,,Sleep,79,66,79.3,45,80.4,0,300,0,300,,78.4,45,0,80.3,0,
2018-08-01,00:15:00,cool,compressorCoolStage1On,,Sleep,79,66,78.5,46,80.4,0,30,0,75,,77.2,46,0,79.9,0,
2018-08-01,00:20:00,cool,compressorCoolOff,,Sleep,79,66,78,48,80.4,0,0,0,0,,76.6,48,0,79.5,0,
2018-08-01,00:25:00,cool,compressorCoolOff,,Sleep,79,66,78.3,47,80.4,0,0,0,0,,77,47,0,79.5,0,
2018-08-01,00:30:00,cool,compressorCoolOff,,Sleep,79,66,78.6,47,79.7,0,0,0,0,,77.6,47,0,79.7,0,
2018-08-01,00:35:00,cool,compressorCoolOff,,Sleep,79,66,78.9,47,79.7,0,0,0,0,,78,47,0,79.9,0,
2018-08-01,00:40:00,cool,compressorCoolOff,,Sleep,79,66,79.1,47,79.7,0,0,0,0,,78.3,47,0,79.9,0,
2018-08-01,00:45:00,cool,compressorCoolOff,,Sleep,79,66,79.3,46,79.7,0,0,0,0,,78.5,46,0,80.1,0,
2018-08-01,00:50:00,cool,compressorCoolOff,,Sleep,79,66,79.4,46,79.7,0,0,0,0,,78.7,46,0,80.1,0,
2018-08-01,00:55:00,cool,compressorCoolOff,,Sleep,78.2,75,79.4,46,79.7,0,285,0,285,,78.7,46,1,80.1,1,
2018-08-01,01:00:00,cool,compressorCoolStage1On,hold,Sleep,78,78,78.7,46,79.8,0,300,0,300,,77.6,46,1,79.9,1,
2018-08-01,01:05:00,cool,compressorCoolStage1On,hold,Sleep,78,78,77.8,46,79.8,0,90,0,135,,76.4,46,0,79.3,1,
2018-08-01,01:10:00,cool,compressorCoolOff,hold,Sleep,78,78,77.3,48,79.8,0,0,0,0,,75.8,48,0,78.8,0,
2018-08-01,01:15:00,cool,compressorCoolOff,hold,Sleep,78,78,77.6,49,79.8,0,0,0,0,,76.2,49,0,79,0,
2018-08-01,01:20:00,cool,compressorCoolOff,hold,Sleep,78,78,77.9,49,79.8,0,0,0,0,,76.8,49,0,79.1,0,
2018-08-01,01:25:00,cool,compressorCoolOff,hold,Sleep,78,78,78.2,48,79.8,0,30,0,30,,77.2,48,0,79.3,0,
2018-08-01,01:30:00,cool,compressorCoolStage1On,hold,Sleep,78,78,78.5,46,78.7,0,300,0,300,,77.6,46,0,79.4,0,
2018-08-01,01:35:00,cool,compressorCoolStage1On,hold,Sleep,78,78,77.9,46,78.7,0,165,0,210,,76.9,46,0,79,0,
2018-08-01,01:40:00,cool,compressorCoolOff,hold,Sleep,78,78,77.1,49,78.7,0,0,0,0,,75.9,49,0,78.4,0,
2018-08-01,01:45:00,cool,compressorCoolOff,hold,Sleep,78,78,77.2,49,78.7,0,0,0,0,,76,49,0,78.5,0,
2018-08-01,01:50:00,cool,compressorCoolOff,hold,Sleep,78,78,77.7,49,78.7,0,0,0,0,,76.6,49,0,78.8,0,
2018-08-01,01:55:00,cool,compressorCoolOff,hold,Sleep,78,78,78,48,78.7,0,0,0,0,,77.1,48,0,79,0,
2018-08-01,02:00:00,cool,compressorCoolOff,hold,Sleep,78,78,78.2,48,78.5,0,0,0,0,,77.4,48,0,79.1,0,
2018-08-01,02:05:00,cool,compressorCoolOff,hold,Sleep,78,78,78.5,47,78.5,0,285,0,285,,77.8,47,0,79.2,0,
2018-08-01,02:10:00,cool,compressorCoolStage1On,hold,Sleep,78,78,77.9,46,78.5,0,180,0,225,,77.1,46,0,78.8,0,
2018-08-01,02:15:00,cool,compressorCoolOff,hold,Sleep,78,78,77,48,78.5,0,0,0,0,,76,48,0,78.1,0,
2018-08-01,02:20:00,cool,compressorCoolOff,hold,Sleep,78,78,77,49,78.5,0,0,0,0,,75.9,49,0,78.1,0,
2018-08-01,02:25:00,cool,compressorCoolOff,hold,Sleep,78,78,77.4,49,78.5,0,0,0,0,,76.4,49,0,78.5,0,
2018-08-01,02:30:00,cool,compressorCoolOff,hold,Sleep,78,78,77.8,48,77.9,0,0,0,0,,76.9,48,0,78.8,0,
2018-08-01,02:35:00,cool,compressorCoolOff,hold,Sleep,78,78,78.1,48,77.9,0,0,0,0,,77.3,48,0,79,0,
2018-08-01,02:40:00,cool,compressorCoolOff,hold,Sleep,78,78,78.2,48,77.9,0,0,0,0,,77.5,48,0,79,0,
2018-08-01,02:45:00,cool,compressorCoolOff,hold,Sleep,78,78,78.3,48,77.9,0,0,0,0,,77.7,48,0,79,0,
2018-08-01,02:50:00,cool,compressorCoolOff,hold,Sleep,78,78,78.4,48,77.9,0,240,0,240,,77.9,48,0,79,0,
2018-08-01,02:55:00,cool,compressorCoolStage1On,hold,Sleep,78.7,69,78.1,47,77.9,0,75,0,120,,77.4,47,0,78.8,0,
2018-08-01,03:00:00,cool,compressorCoolOff,,Sleep,79,66,77.3,49,78.5,0,0,0,0,,76.5,49,0,78.2,0,
2018-08-01,03:05:00,cool,compressorCoolOff,,Sleep,79,66,77.5,49,78.5,0,0,0,0,,76.7,49,0,78.4,0,
2018-08-01,03:10:00,cool,compressorCoolOff,,Sleep,79,66,77.8,48,78.5,0,0,0,0,,77,48,0,78.6,0,
2018-08-01,03:15:00,cool,compressorCoolOff,,Sleep,79,66,78,48,78.5,0,0,0,0,,77.4,48,0,78.8,0,
2018-08-01,03:20:00,cool,compressorCoolOff,,Sleep,79,66,78.3,48,78.5,0,0,0,0,,77.6,48,0,79,0,
2018-08-01,03:25:00,cool,compressorCoolOff,,Sleep,79,66,78.4,48,78.5,0,0,0,0,,77.8,48,0,79,0,
2018-08-01,03:30:00,cool,compressorCoolOff,,Sleep,79,66,78.5,48,77.4,0,0,0,0,,78,48,0,79,0,
2018-08-01,03:35:00,cool,compressorCoolOff,,Sleep,79,66,78.5,48,77.4,0,0,0,0,,78.1,48,0,79,0,
2018-08-01,03:40:00,cool,compressorCoolOff,,Sleep,79,66,78.6,48,77.4,0,0,0,0,,78.2,48,0,79.1,0,
2018-08-01,03:45:00,cool,compressorCoolOff,,Sleep,79,66,78.7,48,77.4,0,0,0,0,,78.3,48,0,79.1,0,
2018-08-01,03:50:00,cool,compressorCoolOff,,Sleep,79,66,78.7,48,77.4,0,0,0,0,,78.4,48,0,79.1,0,
2018-08-01,03:55:00,cool,compressorCoolOff,,Sleep,79,66,78.8,48,77.4,0,0,0,0,,78.5,48,0,79.1,0,
2018-08-01,04:00:00,cool,compressorCoolOff,,Sleep,79,66,78.9,48,75.3,0,0,0,0,,78.5,48,0,79.3,0,
2018-08-01,04:05:00,cool,compressorCoolOff,,Sleep,79,66,78.9,48,75.3,0,0,0,0,,78.6,48,0,79.3,0,
2018-08-01,04:10:00,cool,compressorCoolOff,,Sleep,79,66,78.9,48,75.3,0,0,0,0,,78.6,48,0,79.3,0,
2018-08-01,04:15:00,cool,compressorCoolOff,,Sleep,79,66,78.9,48,75.3,0,0,0,0,,78.6,48,0,79.3,0,
2018-08-01,04:20:00,cool,compressorCoolOff,,Sleep,79,66,78.9,48,75.3,0,0,0,0,,78.6,48,0,79.3,0,
2018-08-01,04:25:00,cool,compressorCoolOff,,Sleep,79,66,79,48,75.3,0,0,0,0,,78.7,48,0,79.3,0,
2018-08-01,04:30:00,cool,compressorCoolOff,,Sleep,79,66,79,48,74.4,0,0,0,0,,78.7,48,0,79.3,0,
2018-08-01,04:35:00,cool,compressorCoolOff,,Sleep,79,66,79,48,74.4,0,0,0,0,,78.7,48,0,79.3,0,
2018-08-01,04:40:00,cool,compressorCoolOff,,Sleep,79,66,79,48,74.4,0,0,0,0,,78.7,48,0,79.3,0,
2018-08-01,04:45:00,cool,compressorCoolOff,,Sleep,79,66,79,48,74.4,0,0,0,0,,78.7,48,0,79.3,0,
2018-08-01,04:50:00,cool,compressorCoolOff,,Sleep,79,66,79,48,74.4,0,0,0,0,,78.7,48,0,79.3,0,
